"Variable","Estimate","Importance"
"JobRoleHuman Resources",14.7665544394436,14.7665544394436
"DepartmentSales",13.8249280767065,13.8249280767065
"DepartmentResearch & Development",13.3819447637779,13.3819447637779
"BusinessTravelTravel_Frequently",2.20184007620698,2.20184007620698
"OverTimeYes",1.89203067764727,1.89203067764727
"JobRoleSales Representative",1.88668490899608,1.88668490899608
"JobRoleLaboratory Technician",1.76914056174473,1.76914056174473
"MaritalStatusSingle",1.52060522547423,1.52060522547423
"BusinessTravelTravel_Rarely",1.26665159412588,1.26665159412588
"JobRoleResearch Director",-1.16379443467633,1.16379443467633
"JobRoleResearch Scientist",0.896301285033866,0.896301285033866
"JobRoleSales Executive",0.718241764305413,0.718241764305413
"JobRoleManager",-0.625036415045736,0.625036415045736
"MaritalStatusMarried",0.540468143833361,0.540468143833361
"JobInvolvement",-0.532403009045682,0.532403009045682
"JobSatisfaction",-0.455635591952799,0.455635591952799
"EnvironmentSatisfaction",-0.407389831946347,0.407389831946347
"WorkLifeBalance",-0.378192578429434,0.378192578429434
"RelationshipSatisfaction",-0.211876470144629,0.211876470144629
"JobLevel",0.184566736319483,0.184566736319483
"NumCompaniesWorked",0.180573555960826,0.180573555960826
"YearsSinceLastPromotion",0.17625063248427,0.17625063248427
"YearsInCurrentRole",-0.16739587996705,0.16739587996705
"YearsWithCurrManager",-0.116916288923412,0.116916288923412
"TrainingTimesLastYear",-0.111449156165539,0.111449156165539
"YearsAtCompany",0.0992289795453588,0.0992289795453588
"TotalWorkingYears",-0.0991885061897715,0.0991885061897715
"PerformanceRating",0.0591442682297092,0.0591442682297092
"Education",-0.0533970885810136,0.0533970885810136
"DistanceFromHome",0.0442597495035399,0.0442597495035399
"JobRoleManufacturing Director",-0.0303582618153766,0.0303582618153766
"PercentSalaryHike",-0.0281755881973299,0.0281755881973299
"Age",-0.024623599300862,0.024623599300862
"StockOptionLevel",-0.0032778634884448,0.0032778634884448
"MonthlyIncome",5.5988499374228e-05,5.5988499374228e-05
