"Variable","Odds_Ratio","P_Value"
"BusinessTravelTravel_Frequently",9.04163550022619,6.06367303730814e-06
"BusinessTravelTravel_Rarely",3.54894932227978,0.00502434106268111
"DistanceFromHome",1.04525382379176,0.000245758104796046
"EnvironmentSatisfaction",0.665384751503293,7.30002020721435e-06
"JobInvolvement",0.587192244687161,0.00010347036309657
"JobRoleLaboratory Technician",5.865809892998,0.00140339103596545
"JobSatisfaction",0.634044846049419,5.22546511236083e-07
"MaritalStatusSingle",4.57499325987131,8.42437826041709e-05
"NumCompaniesWorked",1.19790423123665,2.67420047011466e-05
"OverTimeYes",6.63282414229107,7.62161901942815e-19
"RelationshipSatisfaction",0.809064635031093,0.0197351627457822
"TotalWorkingYears",0.905571986008329,0.00295677529724124
"WorkLifeBalance",0.68509855275782,0.00582891404245201
"YearsAtCompany",1.10431913710441,0.0251780870826005
"YearsInCurrentRole",0.845864684162788,0.000917804632607197
"YearsSinceLastPromotion",1.19273695981925,0.000148617424636468
"YearsWithCurrManager",0.889659664414639,0.0254519406970733
